Feature	Gain	Cover	Frequency
ctrx_quarter	0.10259077456079	0.00922801670645934	0.0128300791173695
mpasivos_margen	0.0336932279208592	0.00625665224565513	0.012838789286492
cpayroll_trx	0.0271404343066184	0.00381954448565443	0.000786818610728025
mcuentas_saldo	0.0198885883850438	0.00892660675835078	0.0123539232053422
mpayroll	0.0195514960376363	0.00683348625826161	0.00154460332438122
mcaja_ahorro	0.0190538750328643	0.00614419037346368	0.0103941351527909
mcuenta_corriente	0.0147412113461054	0.0123025729044407	0.014030630761414
ctarjeta_visa_transacciones	0.0137782789302258	0.0026244106248656	0.00427524134426943
ctrx_quarter_lag1	0.0128611307691962	0.00786661618272556	0.00656891921318139
numero_de_cliente	0.0124976287374141	0.0117802660326662	0.0223256151556943
cliente_edad	0.0119860158567599	0.0125249974328594	0.0192378602017856
mrentabilidad_annual	0.0118982770140686	0.0108988062347912	0.0169572475865573
mprestamos_personales	0.011664732473167	0.0117385217077087	0.00336212528126588
mactivos_margen	0.0104637892136776	0.00860889967147116	0.0109312622486753
mtarjeta_visa_consumo	0.0102622865716477	0.00205562145967566	0.00377150323002105
Master_fechaalta	0.0100957925867497	0.00824615926062785	0.0137896494156928
Master_Fvencimiento	0.0100349046966162	0.00901033138714832	0.0150671408869856
Visa_fechaalta	0.00987112118809868	0.00559017150857567	0.013102997749873
Visa_Fvencimiento	0.00971534305741597	0.00744828681730331	0.015300863758438
cliente_antiguedad	0.00955795935265769	0.00805452641862789	0.0160165493213327
Visa_msaldopesos	0.00878336407093465	0.00397510598319823	0.00547869637802134
mrentabilidad_annual_lag1	0.00846756988112264	0.00696913040103168	0.00846628438702185
mrentabilidad	0.00798685416095952	0.00740582043418486	0.0114175800246788
chomebanking_transacciones	0.00797140080577554	0.00476459240042195	0.0114596791754373
Visa_msaldototal	0.00725397335886258	0.00543538333721968	0.00597517601800102
cliente_edad_lag1	0.00702575378147064	0.00822921855303811	0.0111374029179067
Visa_mpagominimo	0.00676522404355231	0.00431877381228598	0.00702039631269507
cprestamos_personales	0.00665222272469881	0.00783703715846881	0.00199027364447993
limite_total	0.00661771705401997	0.00479204498747801	0.0106423749727807
Master_mfinanciacion_limite	0.00656165766177973	0.00422650676253833	0.00998330550918197
mcomisiones	0.00614011364531441	0.00365806665780763	0.00951295637656964
Visa_mfinanciacion_limite	0.00607697934869043	0.00412797691279706	0.00963489874428395
Visa_status	0.00603497176820372	0.0066735934699536	0.000839079625462728
mrentabilidad_annual_delta1	0.00579980455165985	0.0107949044810538	0.00969151484357988
mcomisiones_otras	0.00579369386008919	0.0039191569847607	0.00864484285403208
ctarjeta_debito_transacciones	0.00556549159994123	0.00261549111936754	0.00318937359367061
ctrx_quarter_delta1	0.00553704588764884	0.00377436224722972	0.00711765986789577
mtransferencias_recibidas	0.00550372819476375	0.00456064534326019	0.00722508528707266
cproductos	0.00534428965776164	0.00822190397396473	0.006110183639399
Visa_mpagospesos	0.00533527556492191	0.0031581459973416	0.00750671408869856
cliente_antiguedad_lag1	0.00517584929782136	0.00552933435007972	0.00853741743485519
cpayroll_trx_lag1	0.00509539751474771	0.000954423067135157	0.000362923713435436
Visa_mconsumospesos	0.00509444182908257	0.00321058570846099	0.00748203527618495
mcomisiones_mantenimiento	0.00509414131833608	0.00527466051773185	0.0047296218334906
Master_mlimitecompra	0.00505176802128254	0.00412965981770818	0.00701313783842636
mcuentas_saldo_lag1	0.00504469838476333	0.00371619055176593	0.00609857008056907
mcuentas_saldo_delta1	0.00496166946483848	0.00446605966506799	0.00673150903680047
mactivos_margen_lag1	0.00486254269791602	0.00562053400315651	0.00604921245554185
Visa_Fvencimiento_lag1	0.00480862605479184	0.00397728558589015	0.00731654206285839
Master_fechaalta_lag1	0.00480481316836032	0.0037311821256017	0.0068926471655658
mcuenta_corriente_delta1	0.00480234762372456	0.00553970687538613	0.00679393191551136
mcuenta_corriente_lag1	0.00478501440892908	0.00592219609508415	0.0069623285185454
Master_Fvencimiento_lag1	0.00473105420768659	0.00541010174128661	0.00750090730928359
cliente_edad_lag2	0.00469669274045288	0.00579793126490154	0.00703491326123249
mcaja_ahorro_dolares	0.00456114031666409	0.00364766048899888	0.00668360310662699
mcaja_ahorro_lag1	0.00454701234227806	0.00293362185165085	0.00540175655077303
mactivos_margen_delta1	0.0043717300357011	0.00530229161239471	0.00696813529796037
Visa_fechaalta_lag1	0.00434767953857565	0.00326899597357589	0.0061624446541337
ccomisiones_otras	0.00425703596046687	0.0036815054874589	0.00717863105175292
mpasivos_margen_lag1	0.0042153396732524	0.00313918459969845	0.00656166073891268
mcomisiones_mantenimiento_delta1	0.00408505761657281	0.00643359604991251	0.00208608550482689
Visa_mlimitecompra	0.00392419692663707	0.00400394528827982	0.00673150903680047
mrentabilidad_lag1	0.00389798441254615	0.0030923293085813	0.0064266531175147
