envios,total,public,private
6000,7.84e+08,782200000,784771428.571429
6500,7.74e+08,772266666.666667,774742857.142857
7000,7.64e+08,762266666.666667,764742857.142857
7500,7.54e+08,752466666.666667,754657142.857143
8000,7.44e+08,742866666.666667,744485714.285714
8500,7.34e+08,732066666.666667,734828571.428572
9000,7.24e+08,721733333.333333,724971428.571429
9500,7.14e+08,711333333.333333,715142857.142857
10000,7.04e+08,701333333.333333,705142857.142857
10500,6.94e+08,691066666.666667,695257142.857143
11000,6.84e+08,680066666.666667,685685714.285714
11500,6.74e+08,669600000,675885714.285714
12000,6.64e+08,658600000,666314285.714286
12500,6.54e+08,649133333.333333,656085714.285714
13000,6.44e+08,638466666.666667,646371428.571429
13500,6.34e+08,628266666.666667,636457142.857143
14000,6.24e+08,618333333.333333,626428571.428572
14500,6.14e+08,607200000,616914285.714286
15000,6.04e+08,597133333.333333,606942857.142857
15500,5.94e+08,588133333.333333,596514285.714286
16000,5.84e+08,576666666.666667,587142857.142857
16500,5.74e+08,567600000,576742857.142857
17000,5.64e+08,557066666.666667,566971428.571429
17500,5.54e+08,546666666.666667,557142857.142857
18000,5.44e+08,5.37e+08,5.47e+08
18500,5.34e+08,527400000,536828571.428571
19000,5.24e+08,517600000,526742857.142857
