Feature	Gain	Cover	Frequency
ctrx_quarter	0.0446852551062936	0.00764595350101694	0.00169814540903402
ctrx_quarter_rank	0.0441359609178685	0.00526483426776171	0.00156303333712595
mpasivos_margen	0.0145273818865664	0.00188377122861774	0.00185743543065195
mcaja_ahorro_rank	0.0125152836623504	0.00246196097747228	0.00149049948799636
mcuentas_saldo_rank	0.0115412281330499	0.00286673859458785	0.00200108089657526
mprestamos_personales_rank	0.0111965790482978	0.00437010727121626	0.00350011377858687
cpayroll_trx_rank	0.0108068684099172	0.0038132974805973	0.00259272954829901
mcaja_ahorro	0.0106690817819174	0.00144027144421342	0.00140658778017977
mpasivos_margen_rank	0.0106180259455829	0.00528065045421228	0.00182472408692684
mpayroll_base	0.00956373576356188	0.00376363422648143	0.000428091933098191
cpayroll_trx	0.00912102593687358	0.00395374173286591	0.000422403003754693
mprestamos_personales	0.00903371731110943	0.00968244514230864	0.00130987598134031
ctrx_quarter_lag1	0.00765690144420751	0.00113363518487991	0.000634315621799977
mpayroll	0.00763726763687913	0.00453565320160773	0.000564626237342132
ctrx_quarter_rank_lag1	0.00664767673488766	0.000796499906548368	0.000506314711571282
mpayroll_normal	0.00650019048493012	0.00256460977140769	0.000285868699510752
mpayroll_rank	0.00632515747772786	0.00347628982635857	0.00238366139492548
Visa_status	0.00567292886039268	0.0160205359505582	0.000911650927295483
mcaja_ahorro_base	0.00561603739487899	0.000974778315719463	0.00102969621117306
Visa_msaldopesos_rank	0.0054980950177561	0.003828620923307	0.00151752190237797
mcuentas_saldo	0.00519237556828915	0.00240885057387746	0.0020992149277506
mtarjeta_visa_consumo	0.00494627467897748	0.00160624619805162	0.000769427693708044
ctarjeta_visa_transacciones	0.00481948032106124	0.00122624616530668	0.000814939128456025
Visa_mpagominimo_rank	0.00478082641311561	0.00199475195982883	0.00192854704744567
mcuenta_corriente	0.00438906191128871	0.00437007983041259	0.0026211741950165
mtarjeta_visa_consumo_rank	0.00435251507676544	0.00162864704078197	0.00142934349755376
cdescubierto_preacordado_rank	0.00421172458203777	0.00414401269334722	0.00299379906701559
cprestamos_personales_rank	0.00421009641139305	0.00333189712929818	0.00334082375696894
mcaja_ahorro_normal	0.0039829234178546	0.00059498097687935	0.000807827966776653
ctarjeta_visa_transacciones_rank	0.00370842956371327	0.00205926642586144	0.00159574468085106
Visa_msaldopesos	0.00353326857701767	0.0013563424201498	0.00105245192854705
Visa_msaldototal_rank	0.00345913749775446	0.00128654822441831	0.00137387643645466
mrentabilidad_annual	0.00343073701589208	0.00300428916810403	0.00267948572078735
mrentabilidad_annual_rank	0.00333250397891249	0.00627301080186669	0.00296677665263397
cprestamos_personales	0.00317875963577243	0.00236232433944756	0.000664182500853339
mactivos_margen	0.00299411228859125	0.00498986139430864	0.00226419387871203
Master_status_rank	0.00299333362105745	0.00312751353127273	0.00316020025031289
ccomisiones_mantenimiento_delta1	0.00297048056341373	0.0051660849365129	0.000560359540334509
cproductos	0.00273260821048633	0.00426338663005836	0.000968540220730458
tcallcenter_rank	0.00264962520064607	0.00798563952924083	0.00346171350551826
mactivos_margen_rank	0.0025775913847658	0.00367888825667695	0.00219308226191831
Master_fechaalta	0.00247653591318499	0.00397301594769393	0.00264961884173399
numero_de_cliente	0.0024313691569925	0.00331762764076973	0.00352571396063261
internet_rank	0.00232419748550262	0.00210490107772945	0.00340197974741154
ccaja_ahorro_rank	0.00232315714172116	0.00337638002514622	0.00360678120377745
Master_status	0.00228637319857943	0.0114354968255604	0.000723916258960064
Visa_fechaalta	0.00228158110128639	0.00141514367838371	0.00252161793150529
cliente_edad_rank	0.00228064142127545	0.00283513117279221	0.00318437820002276
