num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
1589	0.0251059922860639	0.385037672182972	272	185	0.940392007071917	47			925.540000000001	-0.000170072502105807		0.239999999997963	infill_ei	0.470000000001164	0.000459609854290963	0.939644066846464	67
2196	0.0144592112109363	0.29220325423481	244	196	0.940219026062634	57			1391	-0.000382945275756332		0.109999999993306	infill_ei	0.510000000002037	0.00151288509010906	0.939883144735425	77
1159	0.0239693597981687	0.494315637653258	259	195	0.939833620097114	68			818.470000000001	-7.92870215525825e-05		0.469999999993888	infill_ei	0.610000000000582	0.000912343578791951	0.939499956990843	88
1354	0.0257740473952951	0.399893172288751	270	155	0.939736258687985	67			778.939999999995	-0.000494215832336356		0.190000000002328	infill_ei	0.559999999997672	0.000761370860981506	0.940718078154392	87
2314	0.0150642646327224	0.3741113887864	197	334	0.939671280068348	24			1296.39	-0.000102528935717081		0.0299999999988358	infill_ei	0.380000000001019	0.00027343486809827	0.939114166243622	44
2296	0.0134511867618918	0.23803651161782	248	224	0.939611711001716	59			1462.31	-0.00054626633592193		0.139999999999418	infill_ei	0.530000000006112	0.00128916746609152	0.940454716243841	79
1456	0.0226160324068215	0.367651185403667	267	221	0.939556297821944	38			924.110000000001	-0.000301283422977758		0.0800000000017462	infill_ei	0.439999999995052	0.00112876251534836	0.939333104867144	58
1728	0.022902296423018	0.386230947448829	260	177	0.93955376221056	58			1014.93	-0.000553720626338136		0.0999999999985448	infill_ei	0.529999999998836	0.000380251211526203	0.940932423168914	78
2892	0.0201238127318546	0.376143278725851	201	333	0.939506333104592	26			1034.04	-8.64547239200963e-05		0.0600000000013097	infill_ei	0.409999999999855	0.000483443846971124	0.93939873190752	46
2456	0.0139442740342327	0.323899702570469	271	145	0.939427800241995	60			1102.01	-0.000492409317938994		0.110000000000582	infill_ei	0.55000000000291	0.00123235270488368	0.940393549740697	80
1747	0.0224763433254163	0.402391884077433	284	184	0.939425571106366	46			876.14	-0.000305517092682015		0.110000000000582	infill_ei	0.459999999999127	0.000545910035384181	0.939828745588789	66
2975	0.0164341962054298	0.382658642193326	202	291	0.939330462472628	33			1049.02	-0.000519390284971474		0.0299999999988358	infill_ei	0.420000000001892	0.000632865950188242	0.940095651740968	53
2014	0.0110775253537738	0.225520692496383	202	331	0.939299529023111	42			1058.69	-0.000215431867197342		0.0799999999944703	infill_ei	0.450000000004366	0.00118137343692226	0.939019701624122	62
1368	0.0251397944451475	0.378285209481372	287	172	0.939212277065591	52			795.530000000006	-0.000195699602890622		0.0799999999944703	infill_ei	0.5	0.00039356815345812	0.940464126756782	72
2905	0.0208168614300075	0.362444870855362	267	206	0.93920017514351	32			1059.75	-0.000178813867258944		0.0299999999988358	infill_ei	0.430000000000291	0.0013155775638574	0.938711815089666	52
1952	0.0143397404462395	0.374743503451717	186	309	0.939127538681817	19			936.539999999999	-0.000213795328303951		0.069999999999709	infill_ei	0.350000000000364	0.000161808058856426	0.939318870104686	39
2092	0.0134162833534657	0.367627330981357	205	281	0.939116652757343	22			1192.17	-0.000208816240622703		0.0799999999981083	infill_ei	0.369999999998981	0.000195919005330402	0.939319373485975	42
1798	0.015018119666296	0.361711540979774	209	331	0.939112873143887	17			975.040000000001	-0.000626664863035086		0.0199999999986176	infill_ei	0.360000000000582	0.000289861492066308	0.939516196200691	37
1725	0.0198433271756879	0.352069646117406	249	166	0.939061481949969	36			831.560000000001	-0.00018650862904972		0.0599999999976717	infill_ei	0.420000000001892	0.00097265927967686	0.939165675487434	56
1741	0.025001153902974	0.365716676758657	256	161	0.939061425565324	64			743.18	-0.000806255149702786		0.0999999999985448	infill_ei	0.559999999997672	0.000727792090872771	0.941140900399811	84
2374	0.0251632682812112	0.304001339341835	273	158	0.939025549558163	53			845.25	-4.1749318355492e-05		0.220000000001164	infill_ei	0.5	0.00101950602534436	0.939016284071699	73
2782	0.0140741028657066	0.279298297100131	264	226	0.938932440836402	63			1385.53000000001	-0.000310380434645387		0.129999999997381	infill_ei	0.559999999997672	0.0011822119968557	0.940024216489887	83
2991	0.0146651609063792	0.443276829663969	200	331	0.938897039069798	31			819.099999999999	-0.000644991877494477		0.0999999999985448	infill_ei	0.400000000001455	0.000512213996675825	0.940287742660447	51
2432	0.0134937176308781	0.352508841846972	182	291	0.93889113361468	13			893.6	-0.000193873544382966		0.0499999999992724	infill_ei	0.309999999999491	0.000498828080083607	0.938857406974397	33
2253	0.0165754938137721	0.269411403852587	210	149	0.938874189250279	62			1121.48	-0.000303582386339057		0.269999999996799	infill_ei	0.530000000006112	0.00116450111470263	0.940024027239849	82
1709	0.0207304650603369	0.365013226891461	192	295	0.938867752707727	11			647.089999999998	-0.00020883943854653		0.0100000000002183	infill_ei	0.329999999999927	0.000475700356987227	0.938636115022289	31
2511	0.0150025535633183	0.159157809873355	202	262	0.938844568116539	43			1191.2	-0.000935545627021612		0.0900000000037835	infill_ei	0.469999999993888	0.00180142166744984	0.940069983569609	63
1578	0.0255477056595643	0.37380648442353	228	184	0.938813795464726	48			661.479999999996	-0.000221320323795676		0.139999999999418	infill_ei	0.459999999999127	0.000446023761845323	0.940472930865967	68
2968	0.0219311232720505	0.402327930482977	220	307	0.938811916653021	37			788.810000000005	-0.000629222773431296		0.0500000000029104	infill_ei	0.439999999995052	0.000927072676787558	0.940109056621744	57
1531	0.0288183602468993	0.380397677301087	283	151	0.938785629420069	49			718.219999999994	-0.000249894676127458		0.0800000000017462	infill_ei	0.480000000003201	0.000873176401349262	0.940173377102868	69
1569	0.0185316955082414	0.363922013842848	260	171	0.938743423863534	40			1091.19	-0.000616264067877481		0.0499999999956344	infill_ei	0.440000000002328	0.000507319920165577	0.940256228754147	60
1757	0.0251853128068429	0.363777898013134	272	190	0.938686355999002	56			674.93	-0.000260106924620736		0.230000000003201	infill_ei	0.519999999996799	0.000276956768409165	0.940620203822776	76
1535	0.023361191668369	0.267887105065222	292	193	0.938670455463002	35			761.689999999999	-0.000185679071005977		0.0599999999976717	infill_ei	0.440000000002328	0.00130873370106972	0.938749729679839	55
2234	0.0154293479297507	0.282354555682611	170	362	0.938659330346331	34			842.91	-0.000569374907051519		0.0800000000017462	infill_ei	0.419999999998254	0.000806246597056719	0.940084176845935	54
1290	0.0200248564984577	0.338019666402131	186	223	0.938599136318094	8			538.290000000001	-0.000143740392268133		0.0299999999988358	infill_ei	0.300000000001091	0.000231916883174951	0.938584003146828	28
