envios,total,public,private
6000,7.84e+08,782666666.666667,784571428.571429
6500,7.74e+08,773533333.333333,774200000
7000,7.64e+08,762400000,764685714.285714
7500,7.54e+08,751866666.666667,754914285.714286
8000,7.44e+08,740933333.333333,745314285.714286
8500,7.34e+08,731200000,735200000
9000,7.24e+08,720333333.333333,725571428.571429
9500,7.14e+08,710800000,715371428.571429
10000,7.04e+08,702133333.333333,704800000
10500,6.94e+08,689933333.333333,695742857.142857
11000,6.84e+08,679733333.333333,685828571.428572
11500,6.74e+08,669333333.333333,6.76e+08
12000,6.64e+08,659866666.666667,665771428.571429
12500,6.54e+08,649933333.333333,655742857.142857
13000,6.44e+08,639866666.666667,645771428.571429
13500,6.34e+08,630400000,635542857.142857
14000,6.24e+08,620133333.333333,625657142.857143
14500,6.14e+08,610133333.333333,615657142.857143
15000,6.04e+08,601266666.666667,605171428.571429
15500,5.94e+08,591400000,595114285.714286
16000,5.84e+08,581066666.666667,585257142.857143
16500,5.74e+08,571533333.333333,575057142.857143
17000,5.64e+08,562200000,564771428.571429
17500,5.54e+08,552333333.333333,554714285.714286
18000,5.44e+08,5.43e+08,544428571.428572
18500,5.34e+08,532866666.666667,534485714.285714
19000,5.24e+08,522266666.666667,524742857.142857
