num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
2992	0.0101144124181183	0.2704276488465	236	23	0.934122034867098	33			1543.69	-0.000565683583871455		0.0700000000069849	infill_ei	0.419999999983702	0.0013648356343408	0.933863328133478	53
1963	0.0100898358889051	0.225925685648723	290	23	0.933962040924392	36			1664.81	-0.000101447054512347		0.0799999999871943	infill_ei	0.450000000011642	0.00082666784457814	0.933470419472365	56
2996	0.0105768535260591	0.204566351049495	238	131	0.933821454721026	31			1236.14999999999	-5.60000383473726e-05		0.0599999999976717	infill_ei	0.410000000003492	0.000435012961513581	0.933414399737337	51
2868	0.0100353361973633	0.100430768917716	256	20	0.933745367282219	26			1818.46000000002	-7.39122687910592e-06		0.0199999999895226	infill_ei	0.399999999994179	0.000161638942535778	0.933518502368593	46
2995	0.0100757511715883	0.100250794818491	285	20	0.933728301621877	24			1643.41999999998	-0.00031611909472654		0.0100000000093132	infill_ei	0.410000000003492	0.000389683952003683	0.933983565590527	44
2187	0.0101554988549872	0.100360247201107	299	21	0.933727206274373	16			1674.66	-0.000140973997330561		0.0299999999988358	infill_ei	0.339999999996508	0.00029054226417618	0.933585450377042	36
1270	0.0151941920322509	0.302045856957868	273	20	0.933545479350309	68			1075.45000000001	-3.97980715957942e-05		0.10999999998603	infill_ei	0.610000000015134	0.000521362431151881	0.933576920208277	88
2218	0.0100261137551652	0.101572428847876	267	51	0.933538359792258	13			1597.76999999999	-4.25875953160019e-05		0.0200000000186265	infill_ei	0.339999999996508	0.00100426001554965	0.931380442306765	33
1516	0.010055086852986	0.194627825672317	300	24	0.933466819106778	45			1441.85000000001	-0.000105864510915232		0.14000000001397	infill_ei	0.479999999981374	0.00054560586371327	0.93384252633902	65
2680	0.0101168294575056	0.222075773151016	253	22	0.9334422412727	40			1756.03	-0.000200604658054102		0.0799999999871943	infill_ei	0.450000000011642	0.000427240425783848	0.934179298307945	60
2529	0.0102687540759464	0.10003242501114	287	22	0.933413326279323	14			1399.93000000002	-0.000120540646419704		0.0499999999883585	infill_ei	0.339999999996508	0.00039847239784491	0.933454489470087	34
