Feature	Gain	Cover	Frequency
ctrx_quarter	0.142793910197149	0.0135271980603637	0.00809387505558026
mpayroll_rank	0.037852557180085	0.0044694067741079	0.00188972876834149
cpayroll_trx	0.0210336600951785	0.00380690998357684	0.00142655995257151
mpasivos_margen_rank	0.0185152896311194	0.00560565351007296	0.00587298058396324
mpayroll_ratio	0.0183880442440898	0.00104603532344023	0.000643804653920261
mpayroll	0.0174518128860723	0.00296323709263106	0.00176235734400474
mcaja_ahorro_rank	0.0144866962090381	0.00379065281001545	0.00531486216096043
mautoservicio	0.0142097399686947	0.00119874710569953	0.00310323106565881
ctarjeta_visa_transacciones	0.0136146982999922	0.00237356523274203	0.00424262635245294
mtarjeta_visa_consumo	0.0129391297987845	0.00236301215648949	0.00361734845116348
mprestamos_personales	0.0125729796585276	0.00737319807556498	0.00280680302356603
mautoservicio_rank	0.0110974833419341	0.00141975171616604	0.00314028457092041
mpayroll_base	0.0106164062849188	0.00178665334305624	0.00125518749073662
cpayroll_trx_lag1	0.00964951695403733	0.00044758483171852	0.000365903364458278
mtarjeta_visa_consumo_rank	0.0090054218239407	0.00312789623623964	0.00366134948866163
mcuentas_saldo_base	0.00848789079772722	0.00368515498727983	0.00515275307544094
mpasivos_margen	0.00829056761975711	0.00466131847135969	0.00633383355565437
mcaja_ahorro	0.0082086196060824	0.00247904494926492	0.00492580035571365
mcuentas_saldo_rank	0.00777047809003441	0.00635784691330438	0.00636393952867941
mprestamos_personales_rank	0.00759944045694949	0.00819330670887366	0.00280680302356603
Visa_msaldopesos	0.0074862841284684	0.00392595274746528	0.00559507929450126
cliente_edad	0.00662944516676783	0.00921954938060473	0.0113777419593894
mcomisiones_mantenimiento_rank	0.00644134644517744	0.00309137632530849	0.00471505854453831
mcuentas_saldo	0.00587848163467267	0.00528606291904151	0.00713743145101527
mactivos_margen_rank	0.00585421385779619	0.00483364799717882	0.00697300652141693
Master_Fvencimiento	0.00581238299183921	0.00632162886744444	0.010412034978509
Master_fechaalta	0.00547438050855786	0.0086578691208731	0.0102985586186453
mrentabilidad_annual_rank	0.00537429948592699	0.0063287019580676	0.00769091818586038
Visa_mpagominimo	0.00534589920526846	0.00455423623050758	0.00683174003260709
mrentabilidad_annual_rank_lag1	0.00530160668846134	0.00326543511894597	0.00397167259522751
mcuenta_corriente	0.00500436495515155	0.00592543555029287	0.0066094190010375
mrentabilidad_annual	0.00491644464012019	0.00454003477017562	0.00761681117533719
numero_de_cliente	0.00488173883914081	0.00741215165357679	0.0099442344745813
mactivos_margen	0.00476995072577206	0.00522882786442719	0.00646583666814881
Visa_fechaalta	0.00468796814836231	0.00486685603635362	0.00887894619831036
mcaja_ahorro_base	0.00460050864401552	0.00203520447522494	0.00384661701496962
chomebanking_transacciones	0.00442777115637337	0.00816656404610137	0.00793176597006077
cliente_antiguedad	0.00422229362942123	0.00426953257633719	0.00850146361345783
Visa_Fvencimiento	0.00420183178103101	0.00481954144328217	0.00922863865421669
ctrx_quarter_lag1	0.00415687713502458	0.00515033686308025	0.00393925077812361
cprestamos_personales	0.00394491078330377	0.00586908965656941	0.00224173706832666
Master_mfinanciacion_limite	0.00385101314689785	0.00295982131469123	0.00715595820364606
