envios,total,public,private
2000,245600000,196800000,266514285.714286
2500,270800000,218666666.666667,293142857.142857
3000,285600000,239133333.333333,305514285.714286
3500,3.06e+08,258600000,326314285.714286
4000,316800000,275133333.333333,334657142.857143
4500,324400000,280266666.666667,343314285.714286
5000,336800000,286600000,358314285.714286
5500,3.38e+08,295866666.666667,356057142.857143
6000,347200000,298866666.666667,367914285.714286
6500,355600000,310266666.666667,375028571.428572
7000,360800000,323800000,376657142.857143
7500,364400000,334800000,377085714.285714
8000,367200000,335400000,380828571.428571
8500,369200000,3.38e+08,382571428.571429
9000,370400000,334066666.666667,385971428.571429
9500,363600000,326533333.333333,379485714.285714
10000,365600000,332266666.666667,379885714.285714
10500,366800000,340133333.333333,378228571.428572
11000,365600000,337200000,377771428.571429
11500,362800000,334600000,374885714.285714
12000,359200000,335333333.333333,369428571.428572
12500,355600000,336333333.333333,363857142.857143
13000,353600000,337266666.666667,360600000
13500,353200000,335666666.666667,360714285.714286
14000,348800000,325666666.666667,358714285.714286
14500,348400000,326800000,357657142.857143
15000,3.48e+08,329600000,355885714.285714
15500,350800000,332933333.333333,358457142.857143
16000,345600000,325600000,354171428.571429
16500,3.42e+08,331466666.666667,346514285.714286
17000,337600000,331600000,340171428.571429
17500,332400000,321266666.666667,337171428.571429
18000,329600000,314133333.333333,336228571.428571
18500,327600000,3.14e+08,333428571.428571
19000,325600000,312333333.333333,331285714.285714
