Epoch	Iteration	num_iterations	learning_rate	feature_fraction	bagging_fraction	num_leaves	min_data_in_leaf	gpUtility	acqOptimum	inBounds	Elapsed	Score	errorMessage
70	80	2768	0.005	0.232071870390249	0.5	157	500	0.134149670520242	TRUE	TRUE	732.839999999997	0.936826680566143	
36	46	3000	0.005	0.27015187906595	0.775520194508906	126	500	0.265450460010531	TRUE	TRUE	482.169999999998	0.936650943945323	
41	51	3000	0.005	0.1	1	110	500	0.192212996722486	TRUE	TRUE	568.51999999999	0.936650655603799	
54	64	3000	0.005	0.1	0.677622086851219	140	500	0.122583767788205	TRUE	TRUE	559.010000000009	0.936575986088734	
19	29	2603	0.005	0.168986181667147	0.832980384680172	150	500	0.481050381690816	TRUE	TRUE	649.310000000012	0.936499212500831	
13	23	1923	0.005	0.295746534498048	1	200	500	0.0828903900376394	TRUE	TRUE	591.800000000003	0.936328954033523	
21	31	2409	0.005	0.46127554581063	0.5	141	500	0.30119976336353	TRUE	TRUE	506.729999999996	0.936309315034396	
20	30	2223	0.005	0.1	0.5	127	500	0.336595919474797	TRUE	TRUE	541.559999999998	0.936249302844854	
47	57	2302	0.005	0.199703339098245	0.5	160	500	0.169734836019683	TRUE	TRUE	517.869999999995	0.936240677865211	
9	19	2127	0.005	0.298362740156616	1	115	500	0.139230099387484	TRUE	TRUE	573.060000000012	0.936102582655213	
66	76	3000	0.005	0.488212234515672	0.5	156	500	0.227643053252006	TRUE	TRUE	713.25	0.936013207486832	
64	74	2859	0.005	0.1	1	132	500	0.130392506117228	TRUE	TRUE	676.389999999999	0.9359843938009	
37	47	2403	0.005	0.312475731691464	1	136	500	0.209583677340939	TRUE	TRUE	552.029999999999	0.935957270710697	
12	22	1669	0.005	0.290597614076377	0.636982898893942	151	500	0.105351644592646	TRUE	TRUE	466.149999999994	0.935933408072545	
49	59	2598	0.005	0.1	0.847305602376275	118	686	0.161241174081272	TRUE	TRUE	496.300000000003	0.935904253441584	
14	24	1892	0.0197695013403405	0.318094041867077	0.834756784874345	200	500	0.0426715076281128	TRUE	TRUE	180.599999999991	0.935901524355169	
35	45	2190	0.005	0.278595529098676	1	200	846	0.264968524341037	TRUE	TRUE	393.360000000001	0.935805679644896	
57	67	3000	0.005	0.1	1	79	903	0.103356069508258	TRUE	TRUE	549.080000000002	0.935791147515578	
67	77	3000	0.0215586322397704	0.1	0.909969746064057	118	563	0.206835453836528	TRUE	TRUE	164.810000000012	0.935778446163568	
