envios,total,public,private
2000,385600000,354133333.333333,399085714.285714
2500,517200000,492933333.333333,527600000
3000,6.4e+08,634600000,642314285.714286
3500,7.38e+08,736133333.333333,738800000
4000,787200000,778866666.666667,790771428.571429
4500,797200000,790200000,800200000
5000,799200000,789400000,803400000
5500,7.9e+08,781800000,793514285.714286
6000,781600000,775266666.666667,784314285.714286
6500,772400000,767866666.666667,774342857.142857
7000,7.64e+08,761333333.333333,765142857.142857
7500,7.54e+08,750733333.333333,755400000
8000,7.44e+08,741133333.333333,745228571.428572
8500,7.34e+08,730866666.666667,735342857.142857
9000,7.24e+08,720666666.666667,725428571.428571
9500,7.14e+08,711466666.666667,715085714.285714
10000,7.04e+08,700666666.666667,705428571.428572
10500,6.94e+08,691133333.333333,695228571.428572
11000,6.84e+08,680800000,685371428.571429
11500,6.74e+08,670466666.666667,675514285.714286
12000,6.64e+08,659800000,665800000
12500,6.54e+08,649666666.666667,655857142.857143
13000,6.44e+08,639600000,645885714.285714
13500,6.34e+08,629533333.333333,635914285.714286
14000,6.24e+08,619133333.333333,626085714.285714
14500,6.14e+08,608666666.666667,616285714.285714
15000,6.04e+08,598333333.333333,606428571.428572
15500,5.94e+08,587600000,596742857.142857
16000,5.84e+08,577133333.333333,586942857.142857
16500,5.74e+08,566933333.333333,577028571.428571
17000,5.64e+08,556466666.666667,567228571.428572
17500,5.54e+08,546733333.333333,557114285.714286
18000,5.44e+08,536533333.333333,547200000
18500,5.34e+08,526600000,537171428.571429
19000,5.24e+08,516666666.666667,527142857.142857
