Feature	Gain	Cover	Frequency
mpayroll_base	0.0927785329140138	0.0024127247015836	0.00130731195684747
mpasivos_margen_rank	0.0573375592802316	0.00814105955110047	0.00907252022774948
mtarjeta_visa_consumo	0.0395466140213039	0.00428016753286107	0.00650846568774348
mpayroll	0.0317736732911289	0.0050071674800477	0.0028693437219059
mtarjeta_visa_consumo_rank	0.0164179319043746	0.00495639032497027	0.0063679952052742
mautoservicio	0.015044862929203	0.0012462180083552	0.002170737189092
mprestamos_personales_rank	0.014878946790392	0.0115453712499178	0.00368969133952652
mcaja_ahorro_base	0.0131602002645811	0.00475860698816111	0.00801805513934672
mpayroll_rank	0.0127652702391591	0.00530019568692695	0.00261087803416242
mcaja_ahorro_rank	0.0117477703316907	0.00208892079063346	0.00276445909499551
ctrx_quarter	0.0111254942905965	0.00601985187385947	0.00369156427929278
mcuentas_saldo	0.0110563247929924	0.0068724414526309	0.00923359304764759
Visa_msaldototal	0.00995235918184282	0.00181013715581568	0.00276820497452802
Visa_mconsumospesos	0.00939275667058149	0.00480044029882289	0.00963252921786035
mcuentas_saldo_rank	0.00926620188222091	0.00786063314048	0.00920362601138747
mpayroll_rank_delta1	0.00906629140669571	0.00189546352803799	0.00111439916092298
cpayroll_trx	0.00894301016601013	0.00173362923718194	0.000601213664968535
ccomisiones_otras	0.0088430427668564	0.00179505456533674	0.00205086904405154
mcaja_ahorro	0.00826651205674011	0.00502200904592553	0.00780079412646089
mcuenta_corriente	0.00752806642877222	0.00760428731821228	0.00738312855858556
Visa_msaldopesos	0.0073728902674816	0.00635901987896488	0.00825966436919389
ctrx_quarter_lag1	0.00705989295112902	0.00653138130465994	0.0052760713215463
mpayroll_ratio	0.00697180313296181	0.00168962761189948	0.00101700629307761
Visa_mconsumototal	0.0062753699247164	0.00392983698750472	0.00831959844171411
mactivos_margen	0.00619855959608041	0.0081011183107611	0.0091062331435421
mrentabilidad_annual_rank_lag1	0.00576391606768655	0.00517424098196214	0.00612076715612826
numero_de_cliente	0.00569846467009663	0.00921759214158548	0.0120804614923584
Master_mfinanciacion_limite	0.00563857445239513	0.00440675825985456	0.00964751273599041
mcomisiones_mantenimiento_rank	0.00507764274156156	0.00398059042097356	0.00626498351813006
cliente_antiguedad	0.00498340960946376	0.00625483228889788	0.00970370092897812
mcuentas_saldo_base	0.00494289101310421	0.00418787248471874	0.00551018879232844
mcuenta_debitos_automaticos_rank	0.00491501217188073	0.00378196213787654	0.00409424632903806
mrentabilidad_rank	0.0049054444176428	0.00511512481094512	0.00875224752771951
cliente_edad_lag1	0.00488516400061922	0.0061877780116352	0.00799557986215163
Visa_mfinanciacion_limite	0.00481173406522198	0.00482655416273088	0.00919238837278993
mtransferencias_recibidas_rank	0.00474138000560958	0.0038991867105325	0.00735690740185796
